SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
W0C/FR-074,USA - Colorado,CO-Front Range,Bear Mountain,2630,8629,-105.2902,39.6229,-105.2902,39.6229,2,0,01/05/2010,31/12/2099,4,28/01/2026,W0RTA
W0C/FR-075,USA - Colorado,CO-Front Range,South Boulder Peak,2606,8549,-105.2992,39.9537,-105.2992,39.9537,2,0,01/05/2010,31/12/2099,41,11/11/2025,KK6SQ
W0C/FR-076,USA - Colorado,CO-Front Range,Evergreen Mountain,2602,8536,-105.3609,39.6104,-105.3609,39.6104,2,0,01/05/2010,31/12/2099,129,08/02/2026,W0TZ
W0C/FR-077,USA - Colorado,CO-Front Range,Sugarloaf Peak,2591,8501,-105.3057,39.2493,-105.3057,39.2493,2,0,01/05/2010,31/12/2099,18,12/11/2025,N0IPA
W0C/FR-078,USA - Colorado,CO-Front Range,Banner Peak,2591,8500,-105.2958,39.4192,-105.2958,39.4192,2,0,01/05/2010,31/12/2099,0,,
W0C/FR-079,USA - Colorado,CO-Front Range,Mount Ethel,2582,8471,-105.3528,40.6354,-105.3528,40.6354,2,0,01/05/2010,31/12/2099,1,21/08/2021,K0HAK
W0C/FR-080,USA - Colorado,CO-Front Range,Sheep Mountain,2576,8450,-105.3108,40.4121,-105.3108,40.4121,2,0,01/05/2010,31/12/2099,19,18/10/2025,N0DET
W0C/FR-081,USA - Colorado,CO-Front Range,Button Rock Mountain,2576,8450,-105.3853,40.2534,-105.3853,40.2534,2,0,01/05/2010,31/12/2099,42,15/01/2026,KX0R
W0C/FR-082,USA - Colorado,CO-Front Range,Triangle Mountain,2565,8415,-105.4513,40.4648,-105.4513,40.4648,2,0,01/05/2010,31/12/2099,29,30/10/2025,WB0JNR
W0C/FR-083,USA - Colorado,CO-Front Range,Eldorado Mountain,2542,8340,-105.2926,39.9129,-105.2926,39.9129,2,0,01/05/2010,31/12/2099,28,30/10/2025,KX0R
W0C/FR-084,USA - Colorado,CO-Front Range,Palisade Mountain,2519,8264,-105.3108,40.4403,-105.3108,40.4403,2,0,01/05/2010,31/12/2099,25,09/06/2025,N1SMB
W0C/FR-085,USA - Colorado,CO-Front Range,Green Mountain,2482,8144,-105.3014,39.9821,-105.3014,39.9821,2,0,01/05/2010,31/12/2099,168,30/01/2026,KX0R
W0C/FR-086,USA - Colorado,CO-Front Range,Coffintop Mountain,2457,8060,-105.3563,40.1976,-105.3563,40.1976,2,0,01/05/2010,31/12/2099,19,10/05/2025,KX0R
W0C/FR-087,USA - Colorado,CO-Front Range,Bennett Mountain,2452,8045,-105.1245,39.3861,-105.1245,39.3861,2,0,01/05/2010,31/12/2099,107,10/02/2026,W7UM
W0C/FR-088,USA - Colorado,CO-Front Range,Mount McConnel,2444,8020,-105.4645,40.672,-105.4645,40.672,2,0,01/05/2010,31/12/2099,37,26/08/2025,KX0R
W0C/FR-089,USA - Colorado,CO-Front Range,Cheesman Mountain,2422,7946,-105.2707,39.2338,-105.2707,39.2338,1,0,01/05/2010,31/12/2099,19,18/11/2025,KX0R
W0C/FR-090,USA - Colorado,CO-Front Range,Christ Mountain,2414,7919,-105.2847,40.5753,-105.2847,40.5753,1,0,01/05/2010,31/12/2099,2,07/04/2023,KD8EQA
W0C/FR-091,USA - Colorado,CO-Front Range,Blue Mountain,2404,7888,-105.281,40.3353,-105.281,40.3353,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-092,USA - Colorado,CO-Front Range,Mount Morrison,2402,7881,-105.2198,39.6691,-105.2198,39.6691,1,0,01/05/2010,31/12/2099,41,11/02/2026,KX0R
W0C/FR-093,USA - Colorado,CO-Front Range,Bald Mountain,2402,7881,-104.8489,39.1377,-104.8489,39.1377,1,0,01/05/2010,31/12/2099,4,11/11/2011,KD0PNK
W0C/FR-094,USA - Colorado,CO-Front Range,North Greyrock,2341,7681,-105.3008,40.7274,-105.3008,40.7274,1,0,01/05/2010,31/12/2099,12,15/12/2025,KX0R
W0C/FR-095,USA - Colorado,CO-Front Range,Greyrock Mountain,2320,7613,-105.2925,40.7158,-105.2925,40.7158,1,0,01/05/2010,31/12/2099,27,14/10/2025,KX0R
W0C/FR-096,USA - Colorado,CO-Front Range,Rattlesnake Butte,2309,7575,-104.8444,39.1967,-104.8444,39.1967,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-097,USA - Colorado,CO-Front Range,Sheep Mountain,2303,7555,-105.4248,40.682,-105.4248,40.682,1,0,01/05/2010,31/12/2099,18,07/11/2025,KX0R
W0C/FR-098,USA - Colorado,CO-Front Range,Cook Mountain,2298,7540,-105.4057,40.2153,-105.4057,40.2153,1,0,01/05/2010,31/12/2099,17,08/05/2025,KX0R
W0C/FR-099,USA - Colorado,CO-Front Range,Livermore Mountain,2287,7504,-105.2924,40.757,-105.2924,40.757,1,0,01/05/2010,31/12/2099,1,02/11/2015,KX0R
W0C/FR-101,USA - Colorado,CO-Front Range,Dawson Butte,2280,7481,-104.9378,39.3003,-104.9378,39.3003,1,0,01/05/2010,31/12/2099,5,24/07/2020,W0DFM
W0C/FR-102,USA - Colorado,CO-Front Range,Horsetooth Mountain,2211,7255,-105.1967,40.5395,-105.1967,40.5395,1,0,01/05/2010,31/12/2099,46,12/02/2026,WBØJNR
W0C/FR-103,USA - Colorado,CO-Front Range,Alexander Mountain,2166,7105,-105.2511,40.4277,-105.2511,40.4277,1,0,01/05/2010,31/12/2099,1,16/02/2013,N0BCB
W0C/FR-104,USA - Colorado,CO-Front Range,Bonner Peak,2117,6944,-105.2045,40.7393,-105.2045,40.7393,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-105,USA - Colorado,CO-Front Range,Timber Mountain,2102,6896,-104.8791,38.568,-104.8791,38.568,1,0,01/05/2010,31/12/2099,2,08/05/2022,KD8EQA
W0C/FR-106,USA - Colorado,CO-Front Range,Milner Mountain,2097,6881,-105.1824,40.4974,-105.1824,40.4974,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-107,USA - Colorado,CO-Front Range,Green Mountain,2089,6855,-105.1779,39.701,-105.1779,39.701,1,0,01/05/2010,31/12/2099,135,30/01/2026,N0BAA
W0C/FR-108,USA - Colorado,CO-Front Range,Indian Mountain,2009,6591,-105.2506,40.2623,-105.2506,40.2623,1,0,01/05/2010,31/12/2099,0,,
W0C/FR-109,USA - Colorado,CO-Front Range,North Table Mountain,2004,6575,-105.2204,39.7789,-105.2204,39.7789,1,0,01/05/2010,31/12/2099,102,22/01/2026,KX0R
W0C/FR-110,USA - Colorado,CO-Front Range,Longs Peak,4345,14255,-105.6152,40.255,-105.6152,40.255,10,3,01/08/2011,31/12/2099,16,15/06/2025,KOBTC
W0C/FR-111,USA - Colorado,CO-Front Range,Chiefs Head Peak,4139,13579,-105.6416,40.2497,-105.6416,40.2497,10,3,01/08/2011,31/12/2099,3,25/09/2021,K0MOS
W0C/FR-112,USA - Colorado,CO-Front Range,North Arapaho Peak,4115,13502,-105.6502,40.0264,-105.6502,40.0264,10,3,01/08/2011,31/12/2099,3,02/09/2022,K0MOS
W0C/FR-113,USA - Colorado,CO-Front Range,Kiowa Peak,4047,13276,-105.6243,40.0478,-105.6243,40.0478,8,3,01/08/2011,31/12/2099,0,,
W0C/FR-114,USA - Colorado,CO-Front Range,Arikaree Peak,4008,13150,-105.6384,40.0467,-105.6384,40.0467,8,3,01/08/2011,31/12/2099,0,,
W0C/FR-115,USA - Colorado,CO-Front Range,Ogalalla Peak,4004,13138,-105.6667,40.17,-105.6667,40.17,8,3,01/08/2011,31/12/2099,1,04/09/2021,K0MOS
W0C/FR-116,USA - Colorado,CO-Front Range,Isolation Peak,3998,13118,-105.6778,40.2024,-105.6778,40.2024,8,3,01/08/2011,31/12/2099,2,28/08/2021,K0MOS
W0C/FR-118,USA - Colorado,CO-Front Range,Stones Peak,3939,12922,-105.7206,40.3544,-105.7206,40.3544,8,3,01/08/2011,31/12/2099,1,30/09/2023,K0MOS
W0C/FR-119,USA - Colorado,CO-Front Range,Comanche Peak Wilderness HP,3876,12716,-105.6847,40.5509,-105.6847,40.5509,8,3,01/08/2011,31/12/2099,1,06/11/2014,AD0KE
W0C/FR-120,USA - Colorado,CO-Front Range,McReynolds Peak,3795,12450,-105.0803,38.8126,-105.0803,38.8126,6,3,01/08/2011,31/12/2099,2,11/05/2022,KN0MAP
W0C/FR-121,USA - Colorado,CO-Front Range,Sheep Mountain,3779,12397,-105.0547,38.7931,-105.0547,38.7931,6,3,01/08/2011,31/12/2099,13,27/09/2025,KG0AT
W0C/FR-122,USA - Colorado,CO-Front Range,Skyscraper Peak,3774,12383,-105.6808,39.9597,-105.6808,39.9597,6,3,01/08/2011,31/12/2099,5,25/10/2024,WV0X
W0C/FR-123,USA - Colorado,CO-Front Range,Trail Ridge,3766,12355,-105.7572,40.4296,-105.7572,40.4296,6,3,01/08/2011,31/12/2099,58,12/09/2025,WV0X
W0C/FR-124,USA - Colorado,CO-Front Range,11859,3615,11859,-105.7253,40.5791,-105.7253,40.5791,6,3,01/08/2011,31/12/2099,1,20/10/2014,AD0KE
W0C/FR-125,USA - Colorado,CO-Front Range,Sheep Mountain,3603,11820,-105.9339,40.682,-105.9339,40.682,6,3,01/08/2011,31/12/2099,1,09/08/2023,K0MOS
W0C/FR-126,USA - Colorado,CO-Front Range,Crown Benchmark,3547,11637,-105.6627,40.6153,-105.6627,40.6153,6,3,01/08/2011,31/12/2099,3,01/06/2025,KF0QGT
W0C/FR-127,USA - Colorado,CO-Front Range,Signal Mountain,3433,11262,-105.5115,40.5255,-105.5115,40.5255,6,3,01/08/2011,31/12/2099,20,03/10/2025,KX0R
W0C/FR-128,USA - Colorado,CO-Front Range,Confluence Peak,3420,11220,-105.7494,40.4994,-105.7494,40.4994,6,3,01/08/2011,31/12/2099,1,31/07/2018,KX0R
W0C/FR-129,USA - Colorado,CO-Front Range,Cow Mountain,3396,11143,-105.0847,38.758,-105.0847,38.758,6,3,01/08/2011,31/12/2099,4,04/02/2018,K7PX
W0C/FR-130,USA - Colorado,CO-Front Range,Killpecker Mountain,3359,11020,-105.716,40.7703,-105.716,40.7703,6,3,01/08/2011,31/12/2099,8,18/08/2025,KX0R
W0C/FR-131,USA - Colorado,CO-Front Range,10980,3347,10980,-105.7789,40.5351,-105.7789,40.5351,6,3,01/08/2011,31/12/2099,2,21/09/2017,KX0R
W0C/FR-132,USA - Colorado,CO-Front Range,Trachyte Knob,3311,10862,-105.1068,38.7733,-105.1068,38.7733,6,3,01/08/2011,31/12/2099,41,06/02/2026,KF0RIG
W0C/FR-133,USA - Colorado,CO-Front Range,Big Bull Mountain,3302,10832,-105.1123,38.7153,-105.1123,38.7153,6,3,01/08/2011,31/12/2099,24,27/01/2024,KD8EQA
W0C/FR-134,USA - Colorado,CO-Front Range,Tuckaway Mountain,3298,10820,-104.9712,38.814,-104.9712,38.814,6,3,01/08/2011,31/12/2099,6,15/05/2025,KF0RIG
W0C/FR-135,USA - Colorado,CO-Front Range,Bull Hill,3294,10808,-105.1399,38.7361,-105.1399,38.7361,6,3,01/08/2011,31/12/2099,9,29/08/2016,WA2USA/P
W0C/FR-136,USA - Colorado,CO-Front Range,Rhyolite Mountain,3286,10780,-105.1668,38.7826,-105.1668,38.7826,6,3,01/08/2011,31/12/2099,11,21/10/2023,KD8EQA
W0C/FR-137,USA - Colorado,CO-Front Range,10720,3267,10720,-105.4465,40.5139,-105.4465,40.5139,6,3,01/08/2011,31/12/2099,5,16/09/2019,KX0R
W0C/FR-138,USA - Colorado,CO-Front Range,Cameron Cone,3263,10707,-104.9545,38.8312,-104.9545,38.8312,6,3,01/08/2011,31/12/2099,5,15/08/2025,KD8EQA
W0C/FR-139,USA - Colorado,CO-Front Range,10654,3247,10654,-105.3776,39.2206,-105.3776,39.2206,6,3,01/08/2011,31/12/2099,2,02/07/2017,KX0R
W0C/FR-140,USA - Colorado,CO-Front Range,10650,3246,10650,-104.988,38.7267,-104.988,38.7267,6,3,01/08/2011,31/12/2099,51,12/02/2026,KF0RIG
W0C/FR-141,USA - Colorado,CO-Front Range,10620,3237,10620,-105.3939,39.2545,-105.3939,39.2545,6,3,01/08/2011,31/12/2099,6,04/10/2023,KX0R
W0C/FR-142,USA - Colorado,CO-Front Range,Raspberry Mountain,3232,10605,-105.1244,38.9071,-105.1244,38.9071,6,3,01/08/2011,31/12/2099,122,07/02/2026,K5DPY
W0C/FR-143,USA - Colorado,CO-Front Range,Brind Mountain,3198,10492,-105.1169,38.6941,-105.1169,38.6941,4,3,01/08/2011,31/12/2099,0,,
W0C/FR-144,USA - Colorado,CO-Front Range,Knights Peak,3197,10490,-104.9463,38.7254,-104.9463,38.7254,4,3,01/08/2011,31/12/2099,64,10/02/2026,K7PX
W0C/FR-145,USA - Colorado,CO-Front Range,McGregor Mountain,3196,10486,-105.5768,40.4136,-105.5768,40.4136,4,3,01/08/2011,31/12/2099,16,02/11/2025,KF0QGT
W0C/FR-146,USA - Colorado,CO-Front Range,East White Pine Mountain,3124,10248,-105.4463,40.6048,-105.4463,40.6048,4,3,01/08/2011,31/12/2099,17,15/11/2025,KF0QGT
W0C/FR-147,USA - Colorado,CO-Front Range,10148,3093,10148,-106.0032,40.808,-106.0032,40.808,4,3,01/08/2011,31/12/2099,0,,
W0C/FR-148,USA - Colorado,CO-Front Range,Buckeye Mountain,3091,10140,-105.5626,39.9219,-105.5626,39.9219,4,3,01/08/2011,31/12/2099,5,22/06/2025,K0DBU
W0C/FR-149,USA - Colorado,CO-Front Range,Green Mountain,3091,10140,-104.9634,38.6966,-104.9634,38.6966,4,3,01/08/2011,31/12/2099,6,15/05/2019,WG0AT
W0C/FR-150,USA - Colorado,CO-Front Range,Thunder Peak,3089,10134,-105.5674,40.3135,-105.5674,40.3135,4,3,01/08/2011,31/12/2099,29,13/09/2025,K0MOS
W0C/FR-151,USA - Colorado,CO-Front Range,Bull Mountain,3073,10082,-105.8346,40.9175,-105.8346,40.9175,4,3,01/08/2011,31/12/2099,6,10/10/2023,K0FTC
W0C/FR-152,USA - Colorado,CO-Front Range,The Needles,3069,10068,-105.5512,40.4155,-105.5512,40.4155,4,3,01/08/2011,31/12/2099,24,11/01/2026,KF0QGT
